HotspotID,LabName,Addresses,City,Latitude,Longitude
145,"Dr. Dang’s Lab, New Delhi","Dr. Dang’s Lab, C2/1 SDA Aurbindo Marg, New Delhi 110016", New Delhi,28.63576,77.22445
146,"Laboratory Services Indraprastha Apollo Hospitals, New Delhi","Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi 110076", New Delhi,28.2636,77.399
147,"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad  500096", Hyderabad,,
148,"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029", Hyderabad,,
149,"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051", Hyderabad,17.38405,78.45636
151,"S. N. GENELAB, Nanpura, Surat","S. N. GENELAB, 2nd Floor, President Plaza-A, Nanpura, Surat, Gujarat, India 395001", Surat,20.91667,73.05
152,"Neuberg Ehrlich Laboratory Pvt Ltd,  Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu",  Chennai,,
153,"A.G Diagnostics Pvt Ltd,  Pune","A.G Diagnostics Pvt Ltd, CTS No 809, F.P. 147, Nayantara Building, Bhandarkar Road, Pune, Maharashtra 411004",  Pune,,
154,"Cancyte Technologies Private Limited, Bengaluru","Cancyte Technologies Private Limited, Sri Shankara Research Centre, Bengaluru, Karnataka 560018", Bengaluru,12.97194,77.59369
155,"Kokilaben Dhirubhai Ambani Hospital Laboratory, Mumbai","Kokilaben Dhirubhai Ambani Hospital Laboratory, Four Bungalows, Andheri (West), Mumbai, Maharashtra, India", Mumbai,19.07283,72.88261
156,"Max lab, Max Super Speciality Hospita, New Delhi","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017", New Delhi,,
157,"InfeXn Laboratories Private Ltd, Thane","InfeXn Laboratories Private Ltd, A/131, Therelek Compound, Road Number 23, Wagle Industrial Estate, Thane West, Thane, Maharashtra 400604", Thane,19.33333,73.25
158,"Indira Gandhi Institute of Medical Sciences, Patna","Allahabad bank, Bailey Rd, Sheikhpura, Patna, Bihar 800014", Patna,25.2231,83.6422
159,"State Public Health Laboratory, Trivandrum","Red Cross Road, Rishimangalam, Pattoor, Thiruvananthapuram, Kerala 695024", Trivandrum,8.5029,76.9386
160,"Interuniversity, Kottayam","Thalappady, Kerala 686019", Kottayam,9.5781859,76.5809397
